"","Genus","Species","Class","Tmax","REF_max","tmin","Binomial","Synonym","Accepted","Topt","Shapefile","Mass","SVL"
"1212","Xantusia","henshawi","Lepidosauria",34.9,"Mautz_&_Case_1974",NA,"Xantusia henshawi","Xantusia henshawi henshawi",NA,NA,TRUE,3.2,"61.67"
"1213","Xantusia","riversiana","Lepidosauria",39,"Mautz_et_al_1992","6.6","Xantusia riversiana","Klauberina riversiana",NA,29,TRUE,17.3,"83.18"
"1215","Ctenophorus","maculosus","Lepidosauria",48.9,"Mitchell_1973",NA,"Ctenophorus maculosus",NA,NA,NA,TRUE,8.8,"64.6"
"1216","Sceloporus","graciosus","Lepidosauria",43,"Mueller_1969","9.1","Sceloporus graciosus",NA,NA,32.6,TRUE,7,"57.5"
"1217","Petrosaurus","mearnsi","Lepidosauria",42.6,"Murrish_&_Vance_1968",NA,"Petrosaurus mearnsi","Uta mearnsi",NA,NA,TRUE,14,"82.45"
"1219","Phrynosoma","cornutum","Lepidosauria",47.9,"Prieto_&_Whitford_1971","9.5","Phrynosoma cornutum","Agama cornuta",NA,NA,TRUE,38.5,"83.3"
"1220","Phrynosoma","douglassii","Lepidosauria",43.5,"Prieto_&_Whitford_1971","2.7","Phrynosoma douglassii","Phrynosoma douglassii","Phrynosoma douglasii",NA,TRUE,17,"82"
"1228","Holbrookia","maculata","Lepidosauria",46.5,"Sena_1978",NA,"Holbrookia maculata",NA,NA,NA,TRUE,4.9,"54.15"
"1233","Egernia","cunninghami","Lepidosauria",41.9,"Spellerberg_1972a","4.7","Egernia cunninghami",NA,NA,NA,TRUE,240,"220"
"1238","Eulamprus","kosciuskoi","Lepidosauria",40.2,"Spellerberg_1972a","2.5","Eulamprus kosciuskoi",NA,NA,34.6,TRUE,8.3,"82.5"
"1239","Gehyra","variegata","Lepidosauria",43.8,"Spellerberg_1972a","6","Gehyra variegata",NA,NA,NA,TRUE,3,"49.5"
"1240","Hemiergis","decresiensis","Lepidosauria",39.3,"Spellerberg_1972a","6.8","Hemiergis decresiensis",NA,NA,33.1,TRUE,1.6,"51.05"
"1241","Heteronotia","binoei","Lepidosauria",40.6,"Spellerberg_1972a","9.6","Heteronotia binoei",NA,NA,NA,TRUE,1.8,"48"
"1242","Lampropholis","delicata","Lepidosauria",40.8,"Spellerberg_1972a","4.7","Lampropholis delicata",NA,NA,NA,TRUE,1.2,"40"
"1243","Lampropholis","guichenoti","Lepidosauria",41.3,"Spellerberg_1972a","2.5","Lampropholis guichenoti",NA,NA,NA,TRUE,1.1,"40.45"
"1245","Moloch","horridus","Lepidosauria",42.5,"Spellerberg_1972a","3.5","Moloch horridus",NA,NA,NA,TRUE,31.4,"89.7"
"1247","Niveoscincus","metallicus","Lepidosauria",39.6,"Spellerberg_1972a","2.7","Niveoscincus metallicus","Leiolopisma metallicus",NA,NA,TRUE,3.3,"63"
"1248","Niveoscincus","ocellatus","Lepidosauria",40.1,"Spellerberg_1972a","3","Niveoscincus ocellatus",NA,NA,NA,TRUE,12,"85"
"1250","Pseudemoia","entrecasteauxii","Lepidosauria",42.1,"Spellerberg_1972a","2.5","Pseudemoia entrecasteauxii",NA,NA,32.7,TRUE,4,"55.2"
"1253","Rankinia","diemensis","Lepidosauria",44.8,"Spellerberg_1972a","3.1","Rankinia diemensis",NA,NA,NA,TRUE,10,"65.15"
"1256","Tiliqua","nigrolutea","Lepidosauria",42.5,"Spellerberg_1972a","5.2","Tiliqua nigrolutea",NA,NA,NA,TRUE,800,"315"
